driverId,week,hours-logged,miles-logged
97,4,61,200
36,48,78,2800
95,12,63,0
315,43,74,3500
750,45,66,1200
779,37,56,4000
780,13,61,300
981,52,62,3400
123,40,59,2400
398,29,79,2500
277,15,75,900
641,6,78,200
971,27,79,2600
471,51,63,2900
41,48,60,1100
303,28,73,2600
622,27,60,3200
742,13,76,1900
595,27,54,2500
222,27,63,200
659,8,80,1100
412,48,70,500
137,19,50,400
996,23,70,500
203,29,72,2500
814,12,66,2500
557,9,56,2900
460,32,60,2500
438,35,75,2300
178,7,66,1700
882,19,61,800
22,22,80,3700
499,31,76,1600
403,38,79,100
958,21,57,1000
137,33,54,600
900,25,52,2000
439,51,71,1300
975,7,64,500
896,39,77,2600
980,37,60,3300
200,25,51,700
572,43,75,1900
737,26,69,3000
850,3,66,3900
99,46,53,2900
815,24,80,1400
828,6,71,3700
943,2,76,3700
654,8,79,200
492,21,73,1300
887,44,53,1100
1002,1,59,1500
495,13,69,1900
638,45,71,1000
346,52,56,800
696,4,61,2900
285,38,80,2600
265,35,78,2400
191,33,71,2400
669,15,72,1500
806,17,52,3000
196,8,65,800
346,5,76,1700
92,5,63,1000
87,35,61,3900
634,44,59,3000
513,28,74,800
438,39,69,2700
416,30,74,300
561,48,77,2300
283,52,74,500
423,3,65,1800
165,44,76,1000
282,43,63,1600
565,38,70,1300
711,52,71,3200
683,12,53,2400
296,14,68,2900
268,11,57,700
236,41,72,2500
788,21,65,3000
523,50,79,3900
1009,25,73,2600
345,27,75,3700
682,1,50,700
171,6,73,1900
903,47,77,1100
633,11,79,100
890,27,74,3600
872,18,61,2300
721,30,58,1900
790,38,52,2700
220,17,73,3400
63,40,79,3900
329,42,52,1700
194,21,71,400
758,39,68,3500
659,41,78,3500
721,48,67,1400
227,28,79,3300
448,17,71,0
430,35,57,1800
492,9,59,400
567,25,64,500
217,20,79,2500
333,11,69,2100
183,25,66,2100
835,42,51,1200
134,3,73,300
459,1,71,4000
81,4,76,3400
745,25,64,1000
508,48,66,900
256,30,58,1300
552,38,55,1600
869,20,68,1700
25,46,51,3300
268,20,67,1700
967,49,69,4000
619,30,70,2600
258,42,65,2300
495,41,66,700
638,42,63,1400
632,30,56,1000
810,7,77,200
750,40,58,100
999,29,72,3200
701,16,79,1200
695,19,60,700
157,20,73,800
671,4,67,1300
988,47,75,1600
358,34,78,500
758,18,55,600
779,36,64,800
51,7,68,3800
546,17,77,3900
108,17,76,2900
695,16,79,3600
259,47,54,1300
458,40,67,3200
545,24,77,2700
752,4,67,2700
64,6,56,400
366,27,76,3300
435,36,58,1200
82,22,80,4000
180,25,56,1700
784,37,73,3800
84,2,76,700
743,1,79,2400
914,35,75,1200
442,21,74,0
149,52,65,1700
664,23,75,3600
306,35,80,900
446,36,80,1100
97,28,59,800
135,4,54,1700
887,41,52,2700
997,23,68,2300
800,50,51,700
892,34,78,1200
788,45,76,1000
993,39,61,3100
820,33,52,1800
950,41,65,1900
705,4,79,1000
757,5,74,1200
438,1,66,700
459,9,64,0
122,20,59,2800
501,43,75,1400
290,10,59,800
739,8,58,2800
819,14,66,1400
629,18,75,3600
1009,47,73,3000
865,30,78,2900
914,19,77,2700
497,22,55,3800
375,3,63,2200
955,44,70,800
305,5,75,2000
236,45,71,3800
713,28,57,700
43,11,54,1300
655,10,79,2900
237,2,59,2900
195,19,57,3900
584,2,64,900
603,39,60,1100
520,17,67,1700
138,52,62,800
62,9,50,200
989,25,50,4000
13,29,52,3100
355,28,60,1900
84,14,52,3200
238,1,69,1000
233,17,51,2700
102,2,69,1600
719,23,69,2100
680,1,58,700
402,42,54,1700
231,37,80,0
332,32,73,2900
308,20,60,3500
981,14,53,500
453,14,55,2900
905,46,53,900
135,9,79,3000
186,24,72,0
162,44,63,1600
93,14,77,400
548,13,76,2900
407,50,77,2600
521,6,51,1800
324,40,53,1500
695,12,58,500
426,51,50,3600
10,48,60,900
323,35,73,0
710,52,52,2900
1001,42,59,200
16,25,77,1100
793,9,69,1900
425,25,77,400
346,30,68,2800
314,16,69,700
41,3,78,1800
642,17,56,3200
862,22,54,400
342,47,72,3000
584,32,67,500
796,21,51,1600
397,35,67,2700
772,6,71,2700
413,22,67,1400
602,47,57,3100
126,17,71,3000
612,4,53,3200
778,28,65,0
489,51,79,2800
651,6,64,1500
582,18,72,3800
125,42,76,0
226,16,53,3200
1006,38,61,3100
426,2,80,3300
115,18,55,2800
734,43,53,1900
319,49,63,1800
1002,1,66,2400
324,30,76,3700
902,5,62,400
627,47,57,3100
200,44,64,1600
890,36,53,0
785,22,50,3600
104,24,59,2900
642,29,73,2300
893,20,65,1500
91,4,67,400
552,27,72,3300
911,31,64,2300
820,41,76,1600
1003,40,70,1300
200,25,76,1300
27,42,67,700
518,25,65,1100
454,37,67,300
258,15,67,500
143,4,67,3500
129,23,70,3900
785,28,78,3100
627,30,58,400
94,9,69,3800
340,15,54,100
36,41,73,200
509,50,68,3400
464,16,76,3000
755,7,75,3900
454,37,76,100
116,23,57,1300
690,37,65,500
529,46,53,1100
578,50,78,3500
754,6,79,500
572,34,59,2900
851,26,59,900
289,34,56,300
686,4,79,1100
922,31,73,1800
345,43,60,3400
846,45,76,300
838,21,59,3900
436,22,80,1700
426,31,67,3700
122,29,80,3700
120,33,65,3600
569,36,55,1800
502,29,52,2900
159,51,70,100
666,30,76,3400
609,15,65,1700
324,21,72,400
58,34,69,3400
463,3,52,1300
120,36,51,2700
451,39,62,800
628,9,56,3500
610,46,67,3400
159,15,57,3400
839,45,65,3400
141,18,51,3900
612,52,61,1300
727,21,66,1400
84,47,59,2500
174,16,79,300
892,38,58,3900
226,32,56,3900
99,41,71,2900
536,16,68,1700
866,28,54,4000
254,33,58,2100
882,33,74,1300
617,49,55,2100
530,48,59,2500
26,28,55,1500
440,10,67,1700
789,20,78,2200
182,21,65,400
287,19,75,3600
744,42,68,100
196,11,62,300
142,7,76,3300
706,41,72,2500
806,2,68,3500
763,35,75,3500
305,6,80,2800
134,36,72,2600
618,48,57,3400
145,1,74,200
313,45,69,1300
180,21,71,600
286,28,57,500
205,5,71,1000
46,34,53,1700
280,30,59,2100
648,50,64,2100
828,37,50,3500
963,19,77,3000
388,23,63,2000
750,40,57,1600
295,52,75,1900
937,31,63,2200
654,52,62,2100
739,41,60,1800
483,45,61,3500
758,20,52,800
443,46,59,700
183,36,73,1300
417,35,62,2600
166,3,75,1300
718,45,70,100
968,24,70,1200
554,43,79,3200
180,51,60,2900
811,3,74,3600
91,35,71,3100
481,19,78,1100
943,38,61,200
995,1,56,3600
109,52,65,2100
119,37,57,1500
1008,19,80,2300
984,47,55,2900
163,25,70,3700
140,15,56,500
165,9,65,300
894,34,79,2000
813,2,61,2500
511,10,68,1400
156,28,56,2400
608,37,66,3800
707,25,61,1000
214,19,65,2700
168,29,79,1000
678,10,71,400
65,37,56,0
462,15,54,2400
766,16,65,3800
794,26,80,3700
712,48,72,3900
871,51,52,3300
159,33,63,1300
551,28,73,1700
13,31,59,1600
581,22,68,900
962,7,62,3400
273,47,62,1300
142,10,52,3300
897,26,63,900
598,37,76,1000
774,26,52,100
114,32,65,800
42,26,74,2700
340,14,79,3300
386,28,63,2300
112,19,52,0
229,9,53,1200
261,11,59,1600
567,29,73,2900
579,15,77,2500
592,39,72,700
464,10,55,2700
720,1,62,800
135,24,59,2300
775,46,52,200
839,24,60,1900
995,30,73,2500
403,44,65,1500
842,49,80,4000
865,15,62,1300
244,21,55,400
529,24,65,2900
930,4,58,2800
726,19,72,100
39,10,64,1900
17,36,55,900
150,52,72,1300
485,50,52,2200
970,23,54,3200
182,18,79,800
432,12,63,1100
155,27,68,1500
211,31,56,500
255,26,76,1300
288,40,80,2100
805,25,65,3000
257,17,57,1200
32,31,54,700
446,33,68,3600
17,1,66,1700
150,36,60,2300
81,12,79,3200
656,6,76,2700
221,50,60,200
716,11,74,2500
252,12,53,3700
605,44,55,3100
362,13,65,400
814,45,60,2500
956,48,56,2600
303,11,51,3300
609,38,71,1200
152,45,67,1300
685,40,72,2300
346,30,64,2800
230,10,78,1400
475,34,58,1200
42,1,63,0
537,44,80,3700
334,14,69,1600
289,20,65,3800
87,28,79,2700
584,22,78,400
520,50,61,3900
907,41,79,1300
20,28,63,1000
471,32,64,1800
252,23,58,1000
596,11,72,300
511,44,61,2000
549,38,58,700
420,38,60,2100
783,52,76,3700
823,21,50,200
481,27,73,2900
100,36,58,1100
982,41,54,1400
783,38,72,2800
756,17,70,1100
45,3,66,1700
252,27,62,1900
145,31,78,2200
24,8,64,400
782,21,63,0
545,18,62,3200
924,30,56,600
929,41,67,300
950,46,57,800
293,31,56,2800
288,22,60,3500
936,52,66,2500
856,30,62,4000
228,11,64,1400
192,29,58,0
150,30,59,2600
835,36,77,900
271,44,62,2400
546,3,79,2900
93,45,57,1900
359,26,75,1400
938,2,78,3600
954,20,59,0
374,41,69,2500
476,29,64,400
359,27,55,200
818,34,69,1600
295,29,66,1300
903,1,68,3400
593,40,78,2500
668,20,58,3800
131,19,55,4000
258,52,72,1100
607,37,56,3000
91,48,67,2100
703,13,55,3200
867,38,69,2600
424,46,69,3500
449,19,69,3800
684,26,65,1000
159,8,66,1700
450,30,75,2200
121,25,67,600
769,7,56,3500
539,35,73,2000
639,43,61,3000
790,46,71,1900
852,37,75,2200
871,12,60,800
880,8,56,3500
919,38,56,1800
492,19,63,1200
866,46,70,1500
115,5,75,3900
394,31,73,1800
622,49,54,200
670,45,64,1300
995,13,61,600
416,24,75,2300
739,8,63,3400
391,38,50,2200
179,8,55,1200
656,49,71,3700
949,1,61,3600
131,3,59,500
325,30,64,2400
363,42,74,700
767,26,61,2600
413,39,50,2500
460,24,69,2400
806,9,59,1800
305,39,62,800
540,1,57,1800
970,36,78,2500
678,8,79,800
807,33,74,500
832,21,62,700
334,41,72,800
524,18,75,2500
973,36,65,1900
762,9,72,3100
930,32,76,1700
877,51,52,2600
668,24,74,1700
675,18,64,2500
728,25,73,400
939,43,66,0
275,48,75,3300
888,17,50,3100
104,20,50,2800
450,20,71,500
596,17,54,600
977,33,57,400
241,27,76,400
44,37,52,1600
901,17,76,1200
875,26,68,3300
911,38,54,2500
270,18,73,400
240,14,73,2600
380,28,68,2100
91,26,62,4000
765,19,54,3100
872,8,61,1300
368,51,65,3400
596,26,72,3000
224,31,63,2200
305,37,78,3900
863,21,68,3400
903,49,64,3800
870,16,64,3400
114,7,73,900
718,13,58,1800
90,13,66,3300
637,37,58,1300
107,48,54,3300
970,24,51,1700
645,15,74,2600
78,18,79,1400
946,22,72,2900
128,50,72,500
786,32,67,3800
916,4,75,2200
402,14,77,2200
596,52,52,2500
980,39,72,1800
547,21,66,100
185,41,72,3400
43,1,51,1400
600,30,66,1000
241,28,55,0
657,22,50,500
400,43,54,2200
171,50,69,3100
117,24,75,1600
663,33,60,1400
416,19,67,3700
207,14,80,400
743,21,68,0
990,11,51,1900
807,15,67,2000
648,17,50,2900
865,43,53,2400
341,7,53,2700
664,21,68,3300
932,38,55,1400
123,19,59,3500
183,38,52,600
188,47,71,1700
468,49,74,600
13,2,57,1300
36,16,70,4000
510,10,51,1900
54,43,78,2400
128,4,74,1600
634,43,67,900
792,37,75,200
118,5,53,1600
227,47,64,300
67,43,63,1200
1009,25,52,1900
242,45,56,1100
204,46,52,1900
346,41,57,2500
921,24,79,3100
697,50,78,3600
695,50,66,100
669,45,76,400
133,3,69,400
315,27,71,3300
455,9,57,2200
434,30,61,300
905,3,66,2200
412,23,53,2800
976,10,50,3900
854,9,71,3800
284,5,65,1800
634,6,60,2400
474,41,68,3500
67,21,77,3800
450,24,63,1800
475,9,50,1800
263,37,59,3600
284,36,59,3600
257,42,57,3300
602,49,53,2200
885,3,75,3600
586,52,76,2000
40,30,54,2600
29,49,62,2100
16,28,51,600
166,37,73,1300
723,21,72,2400
223,9,54,200
893,52,69,2400
788,43,79,3000
179,33,74,2400
825,17,72,700
896,52,74,3000
172,39,73,300
114,2,60,3900
32,17,59,1300
308,47,70,1500
31,41,53,4000
468,9,61,600
366,34,70,300
993,28,65,700
933,4,74,3500
721,21,79,1100
421,34,78,2000
434,47,59,3400
186,42,66,2300
672,43,50,3200
675,1,61,700
145,45,70,1000
435,23,76,300
25,27,80,1000
644,30,57,3300
782,46,79,400
407,25,54,2300
1009,43,58,1100
24,2,59,900
74,27,80,1800
625,41,75,2900
43,35,68,2300
154,16,78,400
99,41,76,500
207,19,70,3200
926,45,77,1700
495,19,53,2500
595,51,66,900
500,48,64,0
973,47,67,3600
359,18,54,2300
133,23,61,600
667,16,75,2600
43,30,78,2400
859,19,54,3200
826,43,57,1300
841,41,56,2700
664,51,78,400
37,8,72,1200
579,27,70,700
625,43,64,2100
328,49,62,2700
434,8,56,3400
155,39,53,800
363,3,68,2400
169,11,76,2700
240,12,58,2700
265,44,51,0
548,46,80,1300
906,3,62,3000
125,6,59,3400
766,14,51,400
106,41,59,2600
302,13,60,600
806,14,68,2900
228,52,59,3600
309,17,56,1800
304,31,75,600
723,29,57,2600
967,17,77,2900
418,14,51,700
958,32,59,2700
540,39,52,2900
820,26,53,3000
564,20,55,600
262,34,65,500
390,8,60,1500
520,29,56,2300
538,51,71,3800
795,38,74,3800
788,49,78,3100
1000,7,64,1900
759,37,65,2100
840,48,75,400
628,15,55,2600
950,39,50,2100
839,18,53,800
842,14,66,4000
505,37,60,1400
198,51,51,3300
113,39,79,400
278,11,59,1900
321,15,59,3000
167,24,64,2500
956,40,72,2900
598,16,54,800
584,23,70,300
983,7,63,300
166,32,70,3200
783,15,76,1000
935,37,63,3800
657,18,72,2000
238,19,64,1100
280,18,70,500
431,52,51,3600
530,45,66,2800
851,29,79,2100
920,16,75,700
642,35,71,1900
800,27,60,800
807,7,77,100
636,45,79,1700
693,22,54,3900
1003,14,71,400
166,13,56,3400
420,15,57,1100
433,12,65,2600
25,17,69,3500
878,47,57,3700
799,24,56,1300
424,21,70,1300
117,36,73,800
830,26,55,300
680,9,75,1100
407,21,59,1200
13,10,75,500
994,26,67,300
262,39,70,2200
978,23,66,400
704,40,66,1100
824,10,78,2800
542,28,55,3900
532,15,73,4000
976,47,57,2400
600,22,73,3100
396,28,50,2100
